"Congruency","Stimulus","correct","correct_Answer","response_Age","response_Date","response_Gender","response_Handedness","response_Subject","response_time_Answer"
"Neutral","--<--","1","1","20","28-6-2019","1","2","3","443"
"Incongruent","<<><<","0","0","20","28-6-2019","1","2","3","440"
"Incongruent",">><>>","1","1","20","28-6-2019","1","2","3","627"
"Incongruent","<<><<","0","0","20","28-6-2019","1","2","3","491"
"Congruent","<<<<<","0","0","20","28-6-2019","1","2","3","625"
"Congruent",">>>>>","1","1","20","28-6-2019","1","2","3","439"
"Congruent","<<<<<","1","1","20","28-6-2019","1","2","3","489"
"Incongruent","<<><<","1","1","20","28-6-2019","1","2","3","583"
"Congruent","<<<<<","1","1","20","28-6-2019","1","2","3","502"
"Congruent","<<<<<","1","1","20","28-6-2019","1","2","3","469"
"Congruent",">>>>>","1","1","20","28-6-2019","1","2","3","409"
"Incongruent",">><>>","1","1","20","28-6-2019","1","2","3","547"
"Neutral","--<--","1","1","20","28-6-2019","1","2","3","454"
"Congruent","<<<<<","1","1","20","28-6-2019","1","2","3","435"
"Incongruent","<<><<","0","0","20","28-6-2019","1","2","3","435"
"Congruent",">>>>>","1","1","20","28-6-2019","1","2","3","435"
"Incongruent","<<><<","1","1","20","28-6-2019","1","2","3","493"
"Incongruent","<<><<","1","1","20","28-6-2019","1","2","3","632"
"Congruent",">>>>>","1","1","20","28-6-2019","1","2","3","463"
"Incongruent","<<><<","1","1","20","28-6-2019","1","2","3","588"
"Incongruent",">><>>","1","1","20","28-6-2019","1","2","3","573"
"Congruent","<<<<<","1","1","20","28-6-2019","1","2","3","464"
"Neutral","--<--","1","1","20","28-6-2019","1","2","3","497"
"Congruent",">>>>>","1","1","20","28-6-2019","1","2","3","438"
"Incongruent",">><>>","1","1","20","28-6-2019","1","2","3","683"
"Congruent","<<<<<","1","1","20","28-6-2019","1","2","3","508"
"Neutral","--<--","1","1","20","28-6-2019","1","2","3","453"
"Congruent",">>>>>","1","1","20","28-6-2019","1","2","3","462"
"Congruent","<<<<<","1","1","20","28-6-2019","1","2","3","448"
"Neutral","--<--","1","1","20","28-6-2019","1","2","3","496"
"Incongruent",">><>>","1","1","20","28-6-2019","1","2","3","684"
"Congruent",">>>>>","1","1","20","28-6-2019","1","2","3","462"
"Neutral","-->--","1","1","20","28-6-2019","1","2","3","448"
"Incongruent",">><>>","0","0","20","28-6-2019","1","2","3","400"
"Incongruent","<<><<","1","1","20","28-6-2019","1","2","3","620"
"Neutral","-->--","1","1","20","28-6-2019","1","2","3","490"
"Congruent",">>>>>","1","1","20","28-6-2019","1","2","3","402"
"Neutral","--<--","1","1","20","28-6-2019","1","2","3","433"
"Neutral","-->--","1","1","20","28-6-2019","1","2","3","446"
"Incongruent",">><>>","1","1","20","28-6-2019","1","2","3","628"
"Congruent","<<<<<","1","1","20","28-6-2019","1","2","3","540"
"Incongruent",">><>>","1","1","20","28-6-2019","1","2","3","584"
"Incongruent","<<><<","1","1","20","28-6-2019","1","2","3","781"
"Incongruent",">><>>","1","1","20","28-6-2019","1","2","3","489"
"Neutral","-->--","1","1","20","28-6-2019","1","2","3","492"
"Incongruent","<<><<","1","1","20","28-6-2019","1","2","3","5819"
"Incongruent","<<><<","1","1","20","28-6-2019","1","2","3","890"
"Incongruent",">><>>","1","1","20","28-6-2019","1","2","3","671"
"Neutral","-->--","1","1","20","28-6-2019","1","2","3","569"
"Neutral","-->--","1","1","20","28-6-2019","1","2","3","514"
"Incongruent","<<><<","1","1","20","28-6-2019","1","2","3","626"
"Neutral","-->--","1","1","20","28-6-2019","1","2","3","536"
"Incongruent",">><>>","1","1","20","28-6-2019","1","2","3","625"
"Congruent","<<<<<","1","1","20","28-6-2019","1","2","3","506"
"Neutral","-->--","1","1","20","28-6-2019","1","2","3","491"
"Neutral","-->--","1","1","20","28-6-2019","1","2","3","447"
"Congruent","<<<<<","1","1","20","28-6-2019","1","2","3","476"
"Neutral","-->--","1","1","20","28-6-2019","1","2","3","466"
"Incongruent",">><>>","1","1","20","28-6-2019","1","2","3","618"
"Incongruent","<<><<","1","1","20","28-6-2019","1","2","3","709"
"Neutral","--<--","1","1","20","28-6-2019","1","2","3","5382"
"Incongruent",">><>>","1","1","20","28-6-2019","1","2","3","636"
"Neutral","--<--","1","1","20","28-6-2019","1","2","3","439"
"Neutral","-->--","1","1","20","28-6-2019","1","2","3","448"
"Congruent",">>>>>","1","1","20","28-6-2019","1","2","3","476"
